#;Stimul;Goal;Color;Place;Size;Duration;Interval;Show;Hide;;Down;Up;;SMR;MR;;ERR_1;ERR_2;ERR_3
0;14;0;1;1;1;2000;4000;3011;5019;;;;;;;;0;0;0
1;9;0;1;1;1;2000;4000;7024;9040;;;;;;;;0;0;0
2;2;1;1;1;1;2000;4000;11040;13047;;12511;12614;;1574;103;;0;0;0
3;4;1;1;1;1;2000;4000;15055;17070;;15849;15960;;905;111;;0;0;0
4;1;1;1;1;1;2000;4000;19057;21070;;20139;20242;;1185;103;;0;0;0
5;3;1;1;1;1;2000;4000;23072;25087;;24301;24388;;1316;87;;0;0;0
6;8;0;1;1;1;2000;4000;27073;29087;;;;;;;;0;0;0
7;13;0;1;1;1;2000;4000;31081;33091;;;;;;;;0;0;0
8;5;0;1;1;1;2000;4000;35089;37090;;;;;;;;0;0;0
9;7;1;1;1;1;2000;4000;39089;41105;;39885;40004;;915;119;;0;0;0
10;10;0;1;1;1;2000;4000;43091;45104;;;;;;;;0;0;0
11;6;0;1;1;1;2000;4000;47106;49110;;48008;48128;;1022;120;;0;0;1
12;6;0;1;1;1;2000;4000;51120;53121;;;;;;;;0;0;0
13;11;0;1;1;1;2000;4000;55122;57134;;;;;;;;0;0;0
14;15;0;1;1;1;2000;4000;59123;61137;;;;;;;;0;0;0
